Article title,Authors,year,DOI link ,Graph.abstract link ,Model,PDB IDs,DNA sequence,Variations/ modifications/ interaction,Method,Solvent/Water model,Ion concentration,Force field,"Trajectory times, µs",Available trajectory files,Main findings
Molecular Mechanism for the Role of the H2A and H2B Histone Tails in Nucleosome Repositioning,"Chakraborty K, Kang M, Loverde SM.",2018,https://doi.org/10.1021/acs.jpcb.8b07881,https://pubs.acs.org/cms/10.1021/acs.jpcb.8b07881/asset/images/medium/jp-2018-07881h_0009.gif,"Nucleosome core particle, full-tails",1KX5,α-satellite,-,"Classic MD, US",TIP3P,2 M NaCl,CHARMM36,"5 (classic), 0.26 (US)",-,DNA loop or bulge formation near the SHL-5 region; role of H2A C-tail and H2B N-tail
Mechanical evolution of DNA double-strand breaks in the nucleosome,"Cleri F, Landuzzi F, Blossey R. ",2018,https://doi.org/10.1371/journal.pcbi.1006224,https://journals.plos.org/ploscompbiol/article/figure/image?size=large&id=10.1371/journal.pcbi.1006224.g001,Nucleosome core particle,1KX5,α-satellite,DNA double-strand breaks in different nucleosome positions,"Classic MD, US, SMD",TIP3P,140 mM NaCl,CHARMM-27,0.01-1.8,https://figshare.com/articles/dataset/M1_gro/5840706,"DSB ends remained stable within the nucleosome, but performed partial unwrapping dynamics"
Free energy profiles for unwrapping the outer superhelical turn of nucleosomal DNA,"Kono H, Sakuraba S, Ishida H.",2018,https://doi.org/10.1371/journal.pcbi.1006024,https://journals.plos.org/ploscompbiol/article/figure/image?size=large&id=10.1371/journal.pcbi.1006024.g007,"Nucleosome core particle, truncated histone tails",1KX5,α-satellite,-,"ABMD, US",TIP3P,120 mM NaCl,AMBER ff99SB + bsc0 + ff99ions08,0.015*24 (1.5 in total),-,"DNA unwrapping free energy profiles, key histone-DNA contacts"
Investigating the Influence of Arginine Dimethylation on Nucleosome Dynamics Using All-Atom Simulations and Kinetic Analysis,"Li Z, Kono H. ",2018,https://doi.org/10.1021/acs.jpcb.8b05067,https://pubs.acs.org/cms/10.1021/acs.jpcb.8b05067/asset/images/medium/jp-2018-05067j_0007.gif,"Nucleosomes with linker DNA, full histone tails","1KX5, 1ZBB",α-satellite,"arginine dimethylation of H3 histone (R42me2a, anti−anti R42me2s, anti−syn R42me2s, and R42A)","all-atom MD, REMD",TIP3P,150 mM NaCl,CHARMM27,20–100 ns,-,More open conformation of DNA in the nucleosome entry/exit region with asymmetric dimethylation compared with symmetric dimethylation
Interactions of HP1 Bound to H3K9me3 Dinucleosome by Molecular Simulations and Biochemical Assays,"Watanabe S, Mishima Y, Shimizu M, Suetake I, Takada S. ",2018,https://doi.org/10.1016/j.bpj.2018.03.025,https://www.cell.com/cms/attachment/95325021-083e-4aed-813f-fed0ceb5213b/gr1.jpg,Dinuceosome with full histone tails; mononuceosome with full histone tails and linker DNA,Reverse mappind from coarse-grained,α-satellite,"Lysine trimethylation, HP1",Classic MD,TIP3P,100 mM NaCl,Amber99sb + parmbsc0,0.03,,Contacts between HP1 and methylated nucleosome
Unique Dynamics in Asymmetric macroH2A–H2A Hybrid Nucleosomes Result in Increased Complex Stability,"Bowerman S, Hickok RJ, Wereszczynski J. ",2019,https://doi.org/10.1021/acs.jpcb.8b10668,https://pubs.acs.org/cms/10.1021/acs.jpcb.8b10668/asset/images/medium/jp-2018-10668n_0007.gif,"Nucleosome core particles, full histone tails","2F8N, 1KX5",α-satellite,macroH2A,Classic MD,TIP3P,150 mM NaCl,AMBER 12SB fixed point-charge,3*0.25,,"Distinct dynamics, potential impact on higher-order chromatin structures and transcriptional activity of hybrid nucleosome formation that is energetically favorable"
Histone Tail Dynamics in Partially Disassembled Nucleosomes During Chromatin Remodeling,"Kameda T, Awazu A, Togashi Y.",2019,https://doi.org/10.3389/fmolb.2019.00133,https://www.frontiersin.org/files/Articles/486330/fmolb-06-00133-HTML-r1/image_m/fmolb-06-00133-g007.jpg,Nucleosome core particle with full histone tails; hexasomes with full histone tails,1KX5,α-satellite,Lacking each one H2A-H2B or H3-H4 dimer,Classic MD,TIP3P,150 mM KCl,CHARMM36,"0,1*10 for each of
5 systems",https://zenodo.org/records/2548540,Dynamics and stability of nucleosome structures lacking a histone-dimer
Free energy profile for unwrapping outer superhelical turn of CENP-A nucleosome,"Kono H, Sakuraba S, Ishida H. ",2019,https://doi.org/10.2142/biophysico.16.0_337,https://www.jstage.jst.go.jp/pub/biophysico/16/0/16_337/figure/16_337.jpg,"Nucleosomes with linker DNA, full histone tails","3AN2, 1KX5",α-satellite,CENP-A,ABMD combined with multiple walker method + US,TIP3P,120 mM NaCl,"AMBER ff99SB for proteins, ff99bsc0 for DNA, ff99ions08 for ions",15-20 ns,-,The flexible conformation of the CENP-A nucleosome that provides binding sites for the structural integrity of the centromere
Molecular Mechanism of Spontaneous Nucleosome Unraveling,"Winogradoff D, Aksimentiev A. ",2019,https://doi.org/10.1016/j.jmb.2018.11.013,https://ars.els-cdn.com/content/image/1-s2.0-S0022283618310799-ga1.jpg,"Nucleosome core particle, truncated histone tails",3LZ0,"Widom 601, poly-AT, 5S> RNA gene, poly-GC",-,Classic MD,TIP3P,150 mM NaCl,AMBER ff99SB-ILDN-PHI + amber99-bsc0 + CUFIX,2,-,"Spontaneous DNA unwrapping, 1 bp shift as a result of DNA rewrapping, sequence and salt concentration influence"
Nucleosomal DNA Dynamics Mediate Oct4 Pioneer Factor Binding,"Huertas J, MacCarthy CM, Schöler HR, Cojocaru V. ",2020,https://doi.org/10.1016/j.bpj.2019.12.038,https://www.cell.com/cms/attachment/e186e06b-8344-45c3-8786-268d94ded695/gr1.jpg,Nucleosome with linker DNA and full histone tails,"2PYO, 3LZ0, 1KX5","Widom 601, Esrrb, Lin28b",Oct4,Classic MD,TIP3P,150 mM KCl,Amber ff14SB + parmbsc1,"1 (free nucleosomes), 0.1 (complexes)",-,"First nucleosome-Oct4 complex model, correlation between region mobility and binding site position"
